!!NAME	NICK NAME
!!MAXINE	MAX - NAMES STARTING WITH "MAX"
MAY	MAE
!! MC	ANY NAME STARTING WITH MAC/MC
MCKENNA	KEN
MCKENNA	KENNA
MCKENNA	MEAKA
MEDORA	DORA
MEGAN	MEG
MEHITABEL	HETTY
MEHITABEL	MABEL
MEHITABEL	MITTY
MELANIE	MELLIE
MELCHIZEDEK	DICK
MELCHIZEDEK	ZADOCK
MELINDA	LINDA
MELINDA	LINDY
MELINDA	MEL
MELISSA	ALYSSA
MELISSA	LISA
MELISSA	MEL
MELISSA	MILLY
MELISSA	MISSY
MELLONY	MELLIA
MELODY	LODI
MELVIN	MEL
MELVINA	VINA
MERCEDES	MERCI
MERCEDES	MERCY
MERCEDES	SADIE
MICAJAH	CAGE
MICHAEL	MICKEY
MICHAEL	MIKE
MICHAEL	MITCHELL
MICHELLE	MICKEY
MICHELLE	SHELLY
MILDRED	MELL
MILDRED	MILLY
MILDRED	MIMI
MILLICENT	MILLY
MINERVA	MINA
MINERVA	MINNIE
MINERVA	NERVA
MINERVA	NERVIE
MIRANDA	MANDY
MIRANDA	MARI
MIRANDA	MIRA
MIRANDA	RANDY
MIRIAM	MARY
MIRIAM	MITZI
MITCHELL	MICHAEL
MITCHELL	MITCH
MITZI	MARY
MONET	NETTIE
MONICA	MONNA
MONICA	MONNIE
MONTELEON	MONTE
MONTESQUE	MONTY
MONTGOMERY	GUM
MONTGOMERY	MONTY
MORTIMER	MORT
MOSES	AMOS
MOSES	MOSE
MOSES	MOSS
MURIEL	MUR
MYRTLE	MERT
MYRTLE	MYRT
MYRTLE	MYRTI
NADINE	DEE DEE
NADINE	NADA
!!NANCY	#NAME?
NANCY	AGNES
NANCY	ANN
NANCY	NAN
NANCY	NANCE
NANCY	NANNIE
NAOMI	OMI
NAPOLEON	LEON
NAPOLEON	NAP
NAPOLEON	POLEY
NAPOLEON	PONY
NATALIE	NATTIE
NATALIE	NETTIE
NATASHA	NAT
NATASHA	TASHA
NATHANIEL	JONATHAN
NATHANIEL	NAT
NATHANIEL	NATE
NATHANIEL	NATTY
NATHANIEL	NATHAN
NATHANIEL	TAN
NELSON	NELS
NICHOLAS	NICK
NICHOLAS	NICKY
NICODEMUS	NICK
NICOLE	COLE
NICOLE	NIKKI
NICOLE	NOLE
NORA	NONIE
NOWELL	NOEL
OBADIAH	DIAH
OBADIAH	DYER
OBADIAH	OBE
OBADIAH	OBED
OBADIAH	OBIE
OBEDIENCE	BEDA
OBEDIENCE	BEEDY
OBEDIENCE	BIDDIE
OBEDIENCE	OBED
OCTAVIA	TAVE
	TAVIA
ODELL	ODO
OLIVE	OLLIE
OLIVIA	LIVIA
	OLIVE
OLIVER	OLLIE
ONICYPHOROUS	CY
ONICYPHOROUS	CYPHORUS
ONICYPHOROUS	ONE
ONICYPHOROUS	OSAFORUM
ONICYPHOROUS	OSAFORUS
ONICYPHOROUS	SYPHOROUS
ORILLA	ORA
ORILLA	RILLY
AURILLA	ORA
AURILLA	RILLY
ORLANDO	ROLAND
ORPHELIA	PHELIA
OSWALD	OSSY
OSWALD	WALDO
OTIS	ODE
OTIS	OTE
PAMELA	PAM
PANDORA	DORA
PARTHENIA	PARSUNY
PARTHENIA	PASOONIE
PARTHENIA	PHENIE
PARTHENIA	TEENY
PATIENCE	PAT
PATIENCE	PATTY
PATRICIA	PAT
PATRICIA	PATSY
PATRICIA	PATTY
PATRICIA	TRICIA
PATRICIA	TRISH
PATRICIA	TRIXIE
PATRICK	PADDY
PATRICK	PAT
PATRICK	PATSY
PATRICK	PETER
PATRICK	PATRICIA
PAULINE	PAULA
PAULINE	POLLY
PENELOPE	NEPPIE
PENELOPE	PENNY
PERCIVAL	PERCE
PERCIVAL	PERCY
PEREGRINE	PERRY
PERMELIA	MELLIE
PERMELIA	MELLY
PERMELIA	MILLY
PERNETTA	NETTIE
PERSEPHONE	SEPH
PERSEPHONE	SEPHY
PETRONELLA	NELLIE
PHARABA	FERBIE
PHARABA	PHERBIA
PHERIBA	FERBIE
PHERIBA	PHERBIA
PHENEY	JOSEPHINE
PHILIP	FILIP
PHILIP	PHIL
PHILIP	PIP
PHILADELPHIA	DELPHIA
PHILANDER	FIE
PHILIPINA	PHOEBE
PHILIPINA	PENIE
PHILOMENA	MENA
PHOEBE	FIFI
PINCKNEY	PINK
PLEASANT	PLES
POCAHONTAS	POKEY
POSTHUMA	HUMEY
PRESCOTT	PRES
PRESCOTT	SCOTT
PRISCILLA	CIL
PRISCILLA	CILLA
PRISCILLA	CILLER
PRISCILLA	PRISSY
PRISCILLA	SILLER
PROVIDENCE	PROVY
PRUDENCE	DENSY
PRUDENCE	PRUDY
RACHEL	RAE
RACHEL	RAY
RACHEL	RAECH
RANDOLPH	DOLPH
RANDOLPH	RAFE
RANDOLPH	RANDALL
RANDOLPH	RANDY
RAPHAEL	RAFF
RAMONA	MONA
RAYMOND	RAY
REBECCA	BECCA
REBECCA	BECK
REBECCA	BECKIE
REBECCA	BECKY
REBECCA	REBA
REGINA	GINA
REGINA	RAY
REGINALD	REG
REGINALD	REGGIE
REGINALD	REX
REGINALD	REYNOLD
REUBEN	RUBE
REUBEN	RUBY
REYNOLD	REGINALD
RHODA	RODIE
RHODELLA	DELLA
RHYNA	RHYNIE
RICHARD	DICK
RICHARD	RICH
RICHARD	RICHIE
RICHARD	RICK
RICHARD	RITCHIE
ROBERT	DOB
ROBERT	DOBBIN
ROBERT	BOB
ROBERT	BOBBY
ROBERT	ROB
ROBERT	ROBIN
ROBERT	RUPERT
ROBERTA	BERT
ROBERTA	BOBBIE
ROBERTA	ROBBIE
RODERICK	ERICK
RODERICK	ROD
RODERICK	RICKIE
ROGER	HODGE
ROGER	HODGEKIN
ROLAND	ORLANDO
ROLAND	ROWLAND
RONALD	RON
RONALD	RONNIE
ROSCOE	ROSS
!! ROSE	NAMES STARTING WITH "ROSE"
ROSINA	SINA
ROXANE	ROX
ROXANE	ROXIE
RUDOLPH	DOLPH
RUDOLPH	ROLF
RUDOLPH	ROLLO
RUDOLPH	RUDY
RUFINA	FINA
REFINA	FINA
RUSSELL	RUSS
RYAN	RY
SABRINA	BRI
SABRINA	BRINA
SABRINA	SABBY
SABRINA	SABRA
SALOME	LOOMIE
SALVADOR	SAL
SAMANTHA	MANTHA
SAMANTHA	SAMMY
SAMSON	SAM
SAMPSON	SAM
SAMUEL	SAM
SAMUEL	SONNY
SAMYRA	MYRA
SANDRA	ALEXANDRA
SANDRA	SANDY
SANFORD	SANDY
SARAH	CERA
SARAH	SADIE
SARAH	SAL
SARAH	SALLIE
SARAH	SARA
SARAH	SARI
SARAH	SUKIE
SARAH	SURRY
SARILLA	SILLA
SARINA	RENA
SERENA	RENA
SAVANNAH	ANNA
SAVANNAH	VANNIE
SCOTT	SCEETER
SCOTT	SQUAT
SCOTT	SCOTTIE
SEBASTIAN	SEBBY
!! SELMA	#NAME?
SERENA	RENA
SERILLA	RILLA
SHAINA	SHA
SHAINA	SHAY
SHAINA	SHA-SHA
SHARON	SHA
SHARON	SHAY
SHEILA	CECILIA
SHELDON	SHELLY
SHERIDAN	DAN
SHERIDAN	DANNY
SIDNEY	SID
SIBBILLA	SIBBIE
SIBBELL	SIBBIE
SYBILL	SIBBIE
SIGFRID	SID
SIGFIRED	SID
SIGISMUND	SIG
SILAS	SI
SILENCE	LILEY
SILVESTER	SI
SILVESTER	SYL
SILVESTER	SLY
SILVESTER	VEST
SILVESTER	VESTER
SYLVESTER	SI
SYLVESTER	SYL
SYLVESTER	SLY
SYLVESTER	VEST
SYLVESTER	VESTER
SIMEON	SIM
SIMEON	SIMON
SOCRATES	CRATE
SOLOMON	SAL
SOLOMON	SALMON
SOLOMON	SOL
SOLOMON	SOLLY
SOLOMON	ZOLLY
SONDRA	DRE
SONDRA	SONNIE
SOPHRONIA	FRONA
SOPHRONIA	FRONIA
SOPHRONIA	SOPHIA
!! STAN	NAMES STARTING WITH "STAN"
STEPHANIE	ANNIE
STEPHANIE	STEPH
STEPHANIE	STEPHIE
STEPHEN	STEP
STEPHEN	STEVE
STEPHEN	STEVEIE
STEPHEN	STEVEN
SUBMIT	MITTY
SULLIVAN	SULLY
SUSAN	SUE
SUSAN	SUZY
SUSANNAH	HANNAH
SUSANNAH	SUDY
SUSANNAH	SUE
SUSANNAH	SUKEY
SUSANNAH	SUSAN
SUSANNAH	SUSIE
SUSANNAH	SUZANNE
SUZANNE	SUKI
SYBILL	SIBBIE
SYDNEY	SID
SYLVANUS	SLY
SYLVANUS	SYL
TABITHA	TABBY
TAMARRA	TAMMY
TANAFRA	TANNY
TASHA	TASH
TASHA	TASHIE
TEMPERANCE	TEMPY
TERENCE	TERRY
TERESA	TERRY
TERESA	TESS
TERESA	TESSIE
TERESA	TYRZA
THADDEUS	TAD
THADDEUS	THAD
THEODORA	DORA
THEODORE	DOREY
THEODORE	TED
THEODORE	THEOTRIC
THEODOSIA	DOSIA
THEODOSIA	THEO
THEOPHILUS	OPHI
THEOTHA	OTHA
THERESA	TERRY
THERESA	TESS
THERESA	TESSIE
THERESA	THURSA
THERESA	TICY
THERESA	TRACY
THERESA	TRISSY
THOMAS	THOM
THOMAS	TOM
THOMASA	TAMZINE
THOMASINE	TAMZINE
TIFFANY	TIFF
TIFFANY	TIFFY
TILFORD	TILLIE
TIMOTHY	TIM
!! TINA	NAMES ENDING WITH "TINE/TINA"
TOBIAS	TOBE
TOBIAS	TOBY
TOBIAS	BIAS
TRANQUILLA	TRANNIE
TRANQUILLA	QUILLA
!! TY	NAMES STARTING "TY"
UNICE	NICIE
EUNICE	NICIE
URIAH	URY
URSULA	SULA
URSULA	SULIE
VALENTINA	FELTY
VALENTINA	VAL
VALENTINA	VALLIE
VALENTINE	FELTY
VALENTINE	VAL
VALENTINE	VALLIE
VALERIE	VAL
VANBUREN	BUREN
VANDALIA	VANNIE
VANESSA	NESSA
VANESSA	VAN
VANESSA	VANNIE
VERNISEE	NICEY
VERONICA	FRANKY
VERONICA	RONNIE
VERONICA	RONNA
VERONICA	VONNIE
VICTOR	VIC
VICTOR	VICK
VICTORIA	TORIA
VICTORIA	TORRIE
VICTORIA	TORY
VICTORIA	VICKI
!! VIDA	#NAME?
VINCENT	VIN
VINCENT	VINCE
VINCENT	VINNIE
VINCENT	VINNY
VIOLA	OLA
VIOLA	VI
VIOLETTA	LETTIE
VIRGINIA	GINGER
VIRGINIA	GINNY
VIRGINIA	JANE
VIRGINIA	JENNIE
VIRGINIA	JENNY
VIRGINIA	JINIE
VIRGINIA	VIRGIE
VIVIAN	VI
VIVIAN	VIV
WALDO	OSWALD
WALLACE	WALLIE
WALLACE	WALLY
WALTER	WAT
WEBSTER	WEBB
WENDY	WEN
WILBER	WIB
WILFRED	FRED
WILFRED	WILLIE
WILHELMINA	BILLIE
WILHELMINA	HELMIE
WILHELMINA	MINA
WILHELMINA	MINNIE
WILHELMINA	WILLIE
WILHELMINA	WILMA
!! WILLIE	NAMES STARTING WITH "WIL"
WILLIAM	BILL
WILLIAM	BUD
WILLIAM	WILL
WILLIS	BILL
WILLIS	WILLY
!! WILDA (F)	WILLIE
WILMA	#NAME?
WILMA	WILLIAM
WINFIELD	FIELD
WINFIELD	WIN
WINFIELD	WINNY
WINIFRED	FREDDIE
WINIFRED	WINNIE
WINIFRED	WINNET
WINTON	WINT
WOODROW	WOODY
YEONA	ONA
YEONA	ONIE
YULAN	LAN
YULAN	YUL
YVONNE	VONNA
ZACHARIAH	ZACH
ZACHARIAH	ZACHARIAS
ZACHARIAH	ZACHARY
ZACHARIAH	ZEKE
ZADOCK	DICK
ZADOCK	DOCK
ZADOCK	MELCHIZEDEK
ZADOCK	ZED
ZAVEN	ZEE
ZEBULON	LON
ZEBULON	ZEB
ZEDEDIAH	ZED
ZELPHIA	ZEL
ZELPHIA	ZELLA
ZELPHIA	ZELPHY
ZEPANIAH	ZEPH
ZILPHA	ZIFFIE
ZINA	ZEE
ALABAMA	AL
ALASKA	AK
AMERICAN SAMOA	AS
ARIZONA	AZ
ARKANSAS	AR
CALIFORNIA	CA
COLORADO	CO
CONNECTICUT	CT
DELAWARE	DE
DISTRICT OF COLUMBIA	DC
FLORIDA	FL
GEORGIA	GA
GUAM	GU
HAWAII	HI
IDAHO	ID
ILLINOIS	IL
INDIANA	IN
IOWA	IA
KANSAS	KS
KENTUCKY	KY
LOUISIANA	LA
MAINE	ME
MARYLAND	MD
MASSACHUSETTS	MA
MICHIGAN	MI
MINNESOTA	MN
MISSISSIPPI	MS
MISSOURI	MO
MONTANA	MT
NEBRASKA	NE
NEVADA	NV
NEW HAMPSHIRE	NH
NEW JERSEY	NJ
NEW MEXICO	NM
NEW YORK	NY
NORTH CAROLINA	NC
NORTH DAKOTA	ND
NORTHERN MARIANA IS	MP
OHIO	OH
OKLAHOMA	OK
OREGON	OR
PENNSYLVANIA	PA
PUERTO RICO	PR
RHODE ISLAND	RI
SOUTH CAROLINA	SC
SOUTH DAKOTA	SD
TENNESSEE	TN
TEXAS	TX
UTAH	UT
VERMONT	VT
VIRGINIA	VA
VIRGIN ISLANDS	VI
WASHINGTON	WA
WEST VIRGINIA	WV
WISCONSIN	WI
WYOMING	WY
